Model,Price,Resolution(cm),Manufacturer,Review Stars
"DELL 49.53 cm (19.5 inch) HD with Contrast Ratio 600:1/600:1(Dynamic), 16.7 Million Colours, Colour Ga...","₹5,799",49.53,DELL,4.3
"Lenovo L-Series 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI 1.4, VGA, 2X3W Sp...","₹7,599",55.88,Lenovo L-Series,4.5
Elista 48.26 cm (19 inch) HD LED Backlit VA Panel Monitor (ELS-V19HD Pro LED),"₹2,799",48.26,Elista,3.6
"LG Ultra-Gear 80.01 cm (31.5 inch) Quad HD LED Backlit VA Panel with HDR10,Black Stabilizer, 3-Side Vi...","₹21,499",80.01,LG Ultra-Gear,4.5
"Acer XV2 68.58 cm (27 inch) WQHD LED Backlit IPS Panel with DCI-P3 95%, VESA DisplayHDR 400, Display W...","₹17,399",68.58,Acer XV2,4.1
"DELL 46.99 cm (18.5 inch) HD LED Backlit TN Panel with 3-Years Warranty, Brightness 200 cd/m�, Contras...","₹5,799",46.99,DELL,4.3
"Lenovo 60.96 cm (24 inch) Full HD VA Panel with 300 nits brightness, 95% sRGB Gaming Monitor (G24e-20)","₹7,999",60.96,Lenovo,4.3
GIGABYTE 60.45 cm (23.8 inch) Full HD Gaming Monitor (G24F-2),"₹13,300",60.45,GIGABYTE,4.1
LG 19M 46.99 cm (18.5 inches) HD LED Backlit TN Panel Monitor (19M38AB),"₹5,345",N/A,N/A,4.3
"SAMSUNG 68.58 cm (27 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹11,699",68.58,SAMSUNG,4.3
LG 60.96 cm (24 inch) Full HD LED Backlit IPS Panel White Colour Monitor (24MK600M),"₹8,199",60.96,LG,4.4
Frontech Ultima Series DUAL PORTS HDMI & VGA 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (...,"₹6,969",60.96,Frontech Ultima Series DUAL PORTS HDMI & VGA,No Rating
"LG 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with HDMI, DVI,VGA, Audio-IN Ports Gaming Monitor ...","₹7,699",60.96,LG,4.4
Lenovo G Series 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel Gaming Monitor (G24-20),"₹11,699",60.45,Lenovo G Series,4.5
Frontech - 55.88 cm (22 inch) HD LED Backlit VA Panel Monitor (MON-0058),"₹3,979",55.88,Frontech -,3.8
"Lenovo L-Series 60.96 cm (24 inch) Full HD LED Backlit VA Panel with 72% NTSC, HDMI 1.4, VGA, Tilt Sta...","₹8,599",60.96,Lenovo L-Series,4.5
LG ULTRAWIDE SERIES 73.66 cm (29 inch) WFHD LED Backlit IPS Panel Gaming Monitor (29WQ600),"₹18,299",73.66,LG ULTRAWIDE SERIES,4.2
Lenovo 54.61 cm (21.5 inch) Full HD VA Panel Monitor (L22e-40),"₹6,449",54.61,Lenovo,4.5
